year,month,day,trait,descriptor
1970,5,11,charismatic,monk
1970,5,12,intelligent,warrior
1970,5,13,outgoing,pioneer
1970,5,14,charismatic,commander
1970,5,15,resilient,commander
1970,5,16,empathetic,commander
1970,5,17,outgoing,commander
1970,5,18,friendly,delegate
1970,5,19,adventurous,scholar
1970,5,20,empathetic,explorer
1970,5,21,outgoing,delegate
1970,5,22,adventurous,delegate
1970,5,23,resilient,explorer
1970,5,24,organized,commander
1970,5,25,creative,delegate
1970,5,26,analytical,explorer
1970,5,27,analytical,artist
1970,5,28,charismatic,explorer
1970,5,29,organized,monk
1970,5,30,charismatic,artist
1970,5,31,analytical,philosopher
1970,6,1,adventurous,philosopher
1970,6,2,intelligent,delegate
1970,6,3,outgoing,warrior
1970,6,4,resilient,delegate
1970,6,5,adventurous,warrior
1970,6,6,organized,pioneer
1970,6,7,organized,artist
1970,6,8,empathetic,warrior
1970,6,9,organized,king
1970,6,10,empathetic,monk
1970,6,11,friendly,warrior
1970,6,12,charismatic,scholar
1970,6,13,outgoing,king
1970,6,14,charismatic,scholar
1970,6,15,intelligent,philosopher
1970,6,16,empathetic,commander
1970,6,17,organized,pioneer
1970,6,18,creative,explorer
1970,6,19,creative,explorer
1970,6,20,friendly,pioneer
1970,6,21,organized,artist
1970,6,22,charismatic,artist
1970,6,23,creative,monk
1970,6,24,organized,explorer
1970,6,25,adventurous,explorer
1970,6,26,organized,king
1970,6,27,friendly,king
1970,6,28,adventurous,explorer
1970,6,29,charismatic,philosopher
1970,6,30,analytical,philosopher
1970,7,1,resilient,monk
1970,7,2,resilient,artist
1970,7,3,empathetic,explorer
1970,7,4,outgoing,monk
1970,7,5,empathetic,philosopher
1970,7,6,adventurous,warrior
1970,7,7,adventurous,commander
1970,7,8,creative,delegate
1970,7,9,friendly,warrior
1970,7,10,adventurous,commander
1970,7,11,analytical,philosopher
1970,7,12,charismatic,explorer
1970,7,13,adventurous,warrior
1970,7,14,organized,explorer
1970,7,15,resilient,scholar
1970,7,16,adventurous,artist
1970,7,17,creative,delegate
1970,7,18,resilient,monk
1970,7,19,creative,philosopher
1970,7,20,adventurous,commander
1970,7,21,creative,explorer
1970,7,22,resilient,scholar
1970,7,23,outgoing,scholar
1970,7,24,empathetic,commander
1970,7,25,resilient,pioneer
1970,7,26,intelligent,pioneer
1970,7,27,charismatic,delegate
1970,7,28,outgoing,monk
1970,7,29,charismatic,warrior
1970,7,30,intelligent,monk
1970,7,31,creative,monk
1970,8,1,resilient,explorer
1970,8,2,resilient,artist
1970,8,3,organized,king
1970,8,4,adventurous,warrior
1970,8,5,friendly,king
1970,8,6,outgoing,monk
1970,8,7,analytical,warrior
1970,8,8,empathetic,artist
1970,8,9,adventurous,philosopher
1970,8,10,empathetic,philosopher
1970,8,11,friendly,commander
1970,8,12,empathetic,commander
1970,8,13,intelligent,explorer
1970,8,14,adventurous,monk
1970,8,15,intelligent,explorer
1970,8,16,outgoing,monk
1970,8,17,analytical,pioneer
1970,8,18,analytical,warrior
1970,8,19,charismatic,philosopher
1970,8,20,resilient,delegate
1970,8,21,resilient,explorer
1970,8,22,creative,explorer
1970,8,23,empathetic,monk
1970,8,24,organized,pioneer
1970,8,25,friendly,scholar
1970,8,26,analytical,scholar
1970,8,27,organized,delegate
1970,8,28,resilient,king
1970,8,29,friendly,artist
1970,8,30,empathetic,monk
1970,8,31,outgoing,warrior
1970,9,1,creative,warrior
1970,9,2,adventurous,pioneer
1970,9,3,adventurous,king
1970,9,4,analytical,king
1970,9,5,friendly,monk
1970,9,6,empathetic,king
1970,9,7,charismatic,philosopher
1970,9,8,analytical,explorer
1970,9,9,charismatic,explorer
1970,9,10,creative,delegate
1970,9,11,resilient,commander
1970,9,12,resilient,explorer
1970,9,13,charismatic,scholar
1970,9,14,charismatic,commander
1970,9,15,creative,monk
1970,9,16,charismatic,delegate
1970,9,17,adventurous,warrior
1970,9,18,empathetic,king
1970,9,19,analytical,philosopher
1970,9,20,outgoing,philosopher
1970,9,21,friendly,pioneer
1970,9,22,resilient,king
1970,9,23,creative,scholar
1970,9,24,organized,explorer
1970,9,25,intelligent,philosopher
1970,9,26,organized,explorer
1970,9,27,adventurous,explorer
1970,9,28,empathetic,king
1970,9,29,organized,scholar
1970,9,30,outgoing,delegate
1970,10,1,organized,commander
1970,10,2,outgoing,explorer
1970,10,3,adventurous,king
1970,10,4,creative,explorer
1970,10,5,outgoing,artist
1970,10,6,resilient,explorer
1970,10,7,outgoing,monk
1970,10,8,intelligent,commander
1970,10,9,empathetic,king
1970,10,10,empathetic,delegate
1970,10,11,resilient,warrior
1970,10,12,empathetic,warrior
1970,10,13,intelligent,scholar
1970,10,14,analytical,explorer
1970,10,15,analytical,philosopher
1970,10,16,analytical,commander
1970,10,17,adventurous,philosopher
1970,10,18,organized,scholar
1970,10,19,analytical,commander
1970,10,20,outgoing,king
1970,10,21,analytical,explorer
1970,10,22,empathetic,warrior
1970,10,23,creative,commander
1970,10,24,friendly,warrior
1970,10,25,outgoing,king
1970,10,26,empathetic,pioneer
1970,10,27,outgoing,warrior
1970,10,28,creative,monk
1970,10,29,resilient,delegate
1970,10,30,creative,artist
1970,10,31,intelligent,philosopher
1970,11,1,analytical,scholar
1970,11,2,outgoing,warrior
1970,11,3,intelligent,scholar
1970,11,4,friendly,warrior
1970,11,5,charismatic,warrior
1970,11,6,adventurous,explorer
1970,11,7,intelligent,warrior
1970,11,8,intelligent,king
1970,11,9,analytical,explorer
1970,11,10,creative,explorer
1970,11,11,adventurous,delegate
1970,11,12,empathetic,artist
1970,11,13,outgoing,artist
1970,11,14,outgoing,philosopher
1970,11,15,intelligent,delegate
1970,11,16,friendly,scholar
1970,11,17,empathetic,delegate
1970,11,18,analytical,scholar
1970,11,19,empathetic,scholar
1970,11,20,resilient,commander
1970,11,21,adventurous,artist
1970,11,22,analytical,scholar
1970,11,23,adventurous,delegate
1970,11,24,analytical,commander
1970,11,25,creative,delegate
1970,11,26,analytical,pioneer
1970,11,27,analytical,pioneer
1970,11,28,charismatic,explorer
1970,11,29,friendly,pioneer
1970,11,30,empathetic,king
1970,12,1,creative,philosopher
1970,12,2,creative,explorer
1970,12,3,adventurous,monk
1970,12,4,empathetic,king
1970,12,5,analytical,delegate
1970,12,6,analytical,philosopher
1970,12,7,charismatic,artist
1970,12,8,empathetic,commander
1970,12,9,resilient,scholar
1970,12,10,friendly,delegate
1970,12,11,empathetic,commander
1970,12,12,resilient,monk
1970,12,13,outgoing,philosopher
1970,12,14,creative,pioneer
1970,12,15,empathetic,warrior
1970,12,16,analytical,commander
1970,12,17,resilient,king
1970,12,18,creative,pioneer
1970,12,19,resilient,artist
1970,12,20,organized,monk
1970,12,21,empathetic,delegate
1970,12,22,analytical,delegate
1970,12,23,outgoing,explorer
1970,12,24,adventurous,philosopher
1970,12,25,charismatic,warrior
1970,12,26,resilient,explorer
1970,12,27,intelligent,pioneer
1970,12,28,resilient,warrior
1970,12,29,intelligent,explorer
1970,12,30,adventurous,scholar
1970,12,31,outgoing,explorer
1971,1,1,resilient,commander
1971,1,2,organized,commander
1971,1,3,organized,scholar
1971,1,4,friendly,monk
1971,1,5,outgoing,philosopher
1971,1,6,creative,delegate
1971,1,7,adventurous,warrior
1971,1,8,organized,delegate
1971,1,9,adventurous,explorer
1971,1,10,analytical,king
1971,1,11,analytical,philosopher
1971,1,12,resilient,pioneer
1971,1,13,adventurous,scholar
1971,1,14,empathetic,philosopher
1971,1,15,creative,scholar
1971,1,16,creative,pioneer
1971,1,17,resilient,artist
1971,1,18,adventurous,philosopher
1971,1,19,charismatic,monk
1971,1,20,intelligent,delegate
1971,1,21,resilient,artist
1971,1,22,resilient,monk
1971,1,23,organized,explorer
1971,1,24,organized,pioneer
1971,1,25,charismatic,artist
1971,1,26,analytical,scholar
1971,1,27,adventurous,scholar
1971,1,28,organized,explorer
1971,1,29,intelligent,artist
1971,1,30,friendly,monk
1971,1,31,creative,monk
1971,2,1,empathetic,king
1971,2,2,friendly,commander
1971,2,3,intelligent,king
1971,2,4,intelligent,scholar
1971,2,5,resilient,artist
1971,2,6,resilient,artist
1971,2,7,empathetic,philosopher
1971,2,8,outgoing,explorer
1971,2,9,charismatic,artist
1971,2,10,adventurous,monk
1971,2,11,resilient,artist
1971,2,12,intelligent,delegate
1971,2,13,analytical,scholar
1971,2,14,organized,commander
1971,2,15,friendly,pioneer
1971,2,16,charismatic,explorer
1971,2,17,outgoing,king
1971,2,18,analytical,philosopher
1971,2,19,organized,monk
1971,2,20,friendly,scholar
1971,2,21,outgoing,explorer
1971,2,22,creative,explorer
1971,2,23,empathetic,pioneer
1971,2,24,creative,artist
1971,2,25,charismatic,explorer
1971,2,26,outgoing,philosopher
1971,2,27,friendly,warrior
1971,2,28,charismatic,warrior
1971,3,1,outgoing,pioneer
1971,3,2,outgoing,warrior
1971,3,3,intelligent,explorer
1971,3,4,empathetic,commander
1971,3,5,charismatic,scholar
1971,3,6,empathetic,warrior
1971,3,7,organized,scholar
1971,3,8,outgoing,explorer
1971,3,9,empathetic,scholar
1971,3,10,intelligent,warrior
1971,3,11,analytical,monk
1971,3,12,creative,pioneer
1971,3,13,charismatic,artist
1971,3,14,organized,king
1971,3,15,intelligent,artist
1971,3,16,empathetic,commander
1971,3,17,organized,commander
1971,3,18,intelligent,artist
1971,3,19,friendly,scholar
1971,3,20,intelligent,scholar
1971,3,21,organized,delegate
1971,3,22,charismatic,pioneer
1971,3,23,outgoing,delegate
1971,3,24,analytical,commander
1971,3,25,organized,delegate
1971,3,26,charismatic,scholar
1971,3,27,resilient,warrior
1971,3,28,empathetic,warrior
1971,3,29,intelligent,philosopher
1971,3,30,organized,artist
1971,3,31,charismatic,king
1971,4,1,outgoing,artist
1971,4,2,adventurous,explorer
1971,4,3,charismatic,delegate
1971,4,4,friendly,warrior
1971,4,5,outgoing,monk
1971,4,6,organized,monk
1971,4,7,adventurous,delegate
1971,4,8,friendly,monk
1971,4,9,intelligent,explorer
1971,4,10,adventurous,philosopher
1971,4,11,friendly,delegate
1971,4,12,analytical,commander
1971,4,13,charismatic,warrior
1971,4,14,adventurous,king
1971,4,15,adventurous,king
1971,4,16,empathetic,warrior
1971,4,17,outgoing,pioneer
1971,4,18,creative,commander
1971,4,19,adventurous,artist
1971,4,20,empathetic,artist
1971,4,21,resilient,warrior
1971,4,22,intelligent,monk
1971,4,23,charismatic,delegate
1971,4,24,charismatic,pioneer
1971,4,25,analytical,philosopher
1971,4,26,analytical,warrior
1971,4,27,charismatic,warrior
1971,4,28,adventurous,scholar
1971,4,29,friendly,warrior
1971,4,30,analytical,scholar
1971,5,1,outgoing,scholar
1971,5,2,outgoing,commander
1971,5,3,charismatic,explorer
1971,5,4,outgoing,delegate
1971,5,5,outgoing,king
1971,5,6,resilient,philosopher
1971,5,7,charismatic,explorer
1971,5,8,resilient,artist
1971,5,9,empathetic,delegate
1971,5,10,creative,artist
1971,5,11,empathetic,scholar
1971,5,12,empathetic,king
1971,5,13,empathetic,scholar
1971,5,14,creative,monk
1971,5,15,empathetic,pioneer
1971,5,16,empathetic,monk
1971,5,17,adventurous,commander
1971,5,18,charismatic,delegate
1971,5,19,intelligent,scholar
1971,5,20,resilient,philosopher
1971,5,21,analytical,king
1971,5,22,organized,artist
1971,5,23,outgoing,pioneer
1971,5,24,empathetic,scholar
1971,5,25,analytical,philosopher
1971,5,26,outgoing,monk
1971,5,27,analytical,artist
1971,5,28,friendly,commander
1971,5,29,friendly,explorer
1971,5,30,charismatic,philosopher
1971,5,31,analytical,delegate
1971,6,1,analytical,delegate
1971,6,2,intelligent,explorer
1971,6,3,empathetic,scholar
1971,6,4,organized,commander
1971,6,5,charismatic,philosopher
1971,6,6,adventurous,scholar
1971,6,7,creative,scholar
1971,6,8,organized,commander
1971,6,9,organized,commander
1971,6,10,organized,scholar
1971,6,11,organized,king
1971,6,12,creative,philosopher
1971,6,13,empathetic,pioneer
1971,6,14,creative,philosopher
1971,6,15,intelligent,king
1971,6,16,resilient,delegate
1971,6,17,adventurous,pioneer
1971,6,18,creative,commander
1971,6,19,creative,explorer
1971,6,20,intelligent,pioneer
1971,6,21,charismatic,warrior
1971,6,22,outgoing,commander
1971,6,23,friendly,warrior
1971,6,24,organized,delegate
1971,6,25,adventurous,scholar
1971,6,26,organized,warrior
1971,6,27,charismatic,explorer
1971,6,28,charismatic,artist
1971,6,29,outgoing,philosopher
1971,6,30,adventurous,artist
1971,7,1,analytical,pioneer
1971,7,2,intelligent,artist
1971,7,3,friendly,delegate
1971,7,4,analytical,commander
1971,7,5,outgoing,king
1971,7,6,outgoing,king
1971,7,7,creative,explorer
1971,7,8,charismatic,artist
1971,7,9,friendly,philosopher
1971,7,10,intelligent,delegate
1971,7,11,friendly,commander
1971,7,12,friendly,pioneer
1971,7,13,resilient,monk
1971,7,14,creative,king
1971,7,15,organized,scholar
1971,7,16,intelligent,delegate
1971,7,17,intelligent,king
1971,7,18,empathetic,warrior
1971,7,19,intelligent,philosopher
1971,7,20,friendly,pioneer
1971,7,21,resilient,commander
1971,7,22,analytical,delegate
1971,7,23,organized,scholar
1971,7,24,intelligent,warrior
1971,7,25,friendly,king
1971,7,26,creative,delegate
1971,7,27,adventurous,artist
1971,7,28,organized,pioneer
1971,7,29,organized,commander
1971,7,30,outgoing,explorer
1971,7,31,analytical,monk
1971,8,1,adventurous,monk
1971,8,2,organized,delegate
1971,8,3,intelligent,commander
1971,8,4,adventurous,warrior
1971,8,5,charismatic,commander
1971,8,6,adventurous,pioneer
1971,8,7,charismatic,explorer
1971,8,8,charismatic,philosopher
1971,8,9,adventurous,explorer
1971,8,10,empathetic,commander
1971,8,11,resilient,monk
1971,8,12,resilient,delegate
1971,8,13,intelligent,scholar
1971,8,14,adventurous,delegate
1971,8,15,organized,philosopher
1971,8,16,organized,king
1971,8,17,resilient,king
1971,8,18,adventurous,monk
1971,8,19,organized,artist
1971,8,20,intelligent,scholar
1971,8,21,creative,scholar
1971,8,22,adventurous,explorer
1971,8,23,creative,warrior
1971,8,24,analytical,philosopher
1971,8,25,analytical,philosopher
1971,8,26,adventurous,pioneer
1971,8,27,outgoing,artist
1971,8,28,resilient,king
1971,8,29,friendly,artist
1971,8,30,analytical,delegate
1971,8,31,adventurous,pioneer
1971,9,1,empathetic,warrior
1971,9,2,creative,pioneer
1971,9,3,empathetic,monk
1971,9,4,outgoing,artist
1971,9,5,analytical,warrior
1971,9,6,creative,delegate
1971,9,7,analytical,pioneer
1971,9,8,adventurous,commander
1971,9,9,intelligent,scholar
1971,9,10,creative,commander
1971,9,11,intelligent,commander
1971,9,12,analytical,philosopher
1971,9,13,outgoing,explorer
1971,9,14,adventurous,king
1971,9,15,creative,commander
1971,9,16,creative,pioneer
1971,9,17,empathetic,commander
1971,9,18,resilient,pioneer
1971,9,19,resilient,delegate
1971,9,20,resilient,philosopher
1971,9,21,organized,king
1971,9,22,resilient,philosopher
1971,9,23,analytical,pioneer
1971,9,24,empathetic,monk
1971,9,25,resilient,monk
1971,9,26,resilient,philosopher
1971,9,27,empathetic,commander
1971,9,28,analytical,king
1971,9,29,friendly,artist
1971,9,30,empathetic,explorer
1971,10,1,creative,philosopher
1971,10,2,empathetic,artist
1971,10,3,friendly,warrior
1971,10,4,adventurous,king
1971,10,5,empathetic,explorer
1971,10,6,empathetic,artist
1971,10,7,adventurous,warrior
1971,10,8,creative,scholar
1971,10,9,adventurous,monk
1971,10,10,outgoing,king
1971,10,11,resilient,artist
1971,10,12,creative,commander
1971,10,13,resilient,king
1971,10,14,adventurous,explorer
1971,10,15,resilient,philosopher
1971,10,16,outgoing,commander
1971,10,17,creative,explorer
1971,10,18,empathetic,artist
1971,10,19,resilient,pioneer
1971,10,20,intelligent,explorer
1971,10,21,outgoing,commander
1971,10,22,adventurous,pioneer
1971,10,23,analytical,delegate
1971,10,24,empathetic,artist
1971,10,25,friendly,king
1971,10,26,organized,pioneer
1971,10,27,resilient,artist
1971,10,28,outgoing,philosopher
1971,10,29,outgoing,artist
1971,10,30,outgoing,artist
1971,10,31,intelligent,warrior
1971,11,1,charismatic,scholar
1971,11,2,adventurous,warrior
1971,11,3,creative,explorer
1971,11,4,resilient,king
1971,11,5,analytical,warrior
1971,11,6,empathetic,monk
1971,11,7,outgoing,philosopher
1971,11,8,empathetic,explorer
1971,11,9,resilient,explorer
1971,11,10,outgoing,delegate
1971,11,11,creative,warrior
1971,11,12,adventurous,commander
1971,11,13,empathetic,delegate
1971,11,14,friendly,scholar
1971,11,15,analytical,explorer
1971,11,16,resilient,pioneer
1971,11,17,creative,warrior
1971,11,18,resilient,pioneer
1971,11,19,organized,king
1971,11,20,intelligent,philosopher
1971,11,21,analytical,scholar
1971,11,22,resilient,artist
1971,11,23,charismatic,artist
1971,11,24,charismatic,king
1971,11,25,resilient,king
1971,11,26,organized,monk
1971,11,27,friendly,explorer
1971,11,28,charismatic,philosopher
1971,11,29,charismatic,warrior
1971,11,30,outgoing,king
1971,12,1,organized,explorer
1971,12,2,friendly,delegate
1971,12,3,organized,king
1971,12,4,analytical,commander
1971,12,5,adventurous,philosopher
1971,12,6,charismatic,warrior
1971,12,7,creative,warrior
1971,12,8,empathetic,king
1971,12,9,analytical,pioneer
1971,12,10,adventurous,warrior
1971,12,11,organized,explorer
1971,12,12,empathetic,artist
1971,12,13,charismatic,scholar
1971,12,14,outgoing,explorer
1971,12,15,outgoing,king
1971,12,16,empathetic,scholar
1971,12,17,charismatic,warrior
1971,12,18,outgoing,pioneer
1971,12,19,organized,king
1971,12,20,creative,delegate
1971,12,21,analytical,commander
1971,12,22,adventurous,scholar
1971,12,23,intelligent,delegate
1971,12,24,organized,explorer
1971,12,25,empathetic,pioneer
1971,12,26,creative,commander
1971,12,27,intelligent,warrior
1971,12,28,intelligent,artist
1971,12,29,charismatic,monk
1971,12,30,creative,monk
1971,12,31,analytical,explorer
1972,1,1,empathetic,scholar
1972,1,2,intelligent,commander
1972,1,3,organized,philosopher
1972,1,4,charismatic,king
1972,1,5,intelligent,scholar
1972,1,6,charismatic,warrior
1972,1,7,resilient,pioneer
1972,1,8,intelligent,commander
1972,1,9,organized,scholar
1972,1,10,creative,pioneer
1972,1,11,organized,monk
1972,1,12,friendly,king
1972,1,13,charismatic,commander
1972,1,14,friendly,philosopher
1972,1,15,outgoing,delegate
1972,1,16,empathetic,king
1972,1,17,analytical,king
1972,1,18,charismatic,philosopher
1972,1,19,organized,delegate
1972,1,20,adventurous,warrior
1972,1,21,creative,monk
1972,1,22,analytical,artist
1972,1,23,organized,delegate
1972,1,24,outgoing,commander
1972,1,25,charismatic,warrior
1972,1,26,adventurous,delegate
1972,1,27,adventurous,monk
1972,1,28,intelligent,commander
1972,1,29,resilient,philosopher
1972,1,30,organized,warrior
1972,1,31,outgoing,delegate
1972,2,1,outgoing,delegate
1972,2,2,charismatic,philosopher
1972,2,3,organized,artist
1972,2,4,empathetic,king
1972,2,5,analytical,artist
1972,2,6,resilient,artist
1972,2,7,empathetic,king
1972,2,8,outgoing,warrior
1972,2,9,creative,monk
1972,2,10,creative,artist
1972,2,11,charismatic,king
1972,2,12,resilient,commander
1972,2,13,adventurous,pioneer
1972,2,14,creative,delegate
1972,2,15,organized,pioneer
1972,2,16,empathetic,delegate
1972,2,17,outgoing,warrior
1972,2,18,empathetic,artist
1972,2,19,charismatic,king
1972,2,20,analytical,warrior
1972,2,21,intelligent,king
1972,2,22,charismatic,delegate
1972,2,23,intelligent,monk
1972,2,24,empathetic,scholar
1972,2,25,intelligent,king
1972,2,26,organized,artist
1972,2,27,intelligent,philosopher
1972,2,28,creative,monk
1972,2,29,empathetic,king
1972,3,1,organized,warrior
1972,3,2,charismatic,king
1972,3,3,analytical,commander
1972,3,4,organized,artist
1972,3,5,friendly,explorer
1972,3,6,adventurous,king
1972,3,7,charismatic,artist
1972,3,8,intelligent,philosopher
1972,3,9,creative,warrior
1972,3,10,creative,scholar
1972,3,11,charismatic,explorer
1972,3,12,intelligent,scholar
1972,3,13,empathetic,commander
1972,3,14,analytical,monk
1972,3,15,organized,explorer
1972,3,16,friendly,artist
1972,3,17,empathetic,philosopher
1972,3,18,analytical,monk
1972,3,19,adventurous,philosopher
1972,3,20,analytical,king
1972,3,21,empathetic,pioneer
1972,3,22,outgoing,scholar
1972,3,23,intelligent,warrior
1972,3,24,creative,philosopher
1972,3,25,outgoing,explorer
1972,3,26,resilient,philosopher
1972,3,27,charismatic,philosopher
1972,3,28,charismatic,pioneer
1972,3,29,organized,monk
1972,3,30,friendly,warrior
1972,3,31,outgoing,scholar
1972,4,1,intelligent,monk
1972,4,2,adventurous,monk
1972,4,3,resilient,commander
1972,4,4,empathetic,commander
1972,4,5,friendly,explorer
1972,4,6,adventurous,pioneer
1972,4,7,adventurous,philosopher
1972,4,8,intelligent,king
1972,4,9,creative,monk
1972,4,10,empathetic,pioneer
1972,4,11,charismatic,king
1972,4,12,outgoing,delegate
1972,4,13,creative,monk
1972,4,14,outgoing,explorer
1972,4,15,outgoing,delegate
1972,4,16,adventurous,scholar
1972,4,17,organized,scholar
1972,4,18,intelligent,delegate
1972,4,19,resilient,delegate
1972,4,20,charismatic,warrior
1972,4,21,creative,monk
1972,4,22,outgoing,explorer
1972,4,23,outgoing,philosopher
1972,4,24,organized,explorer
1972,4,25,friendly,philosopher
1972,4,26,creative,king
1972,4,27,charismatic,artist
1972,4,28,charismatic,pioneer
1972,4,29,resilient,scholar
1972,4,30,organized,delegate
1972,5,1,friendly,warrior
1972,5,2,friendly,philosopher
1972,5,3,analytical,warrior
1972,5,4,analytical,king
1972,5,5,organized,philosopher
1972,5,6,analytical,philosopher
1972,5,7,intelligent,scholar
1972,5,8,empathetic,monk
1972,5,9,analytical,scholar
1972,5,10,friendly,king
1972,5,11,analytical,commander
1972,5,12,organized,monk
1972,5,13,resilient,delegate
1972,5,14,creative,king
1972,5,15,intelligent,warrior
1972,5,16,empathetic,warrior
1972,5,17,empathetic,monk
1972,5,18,charismatic,delegate
1972,5,19,organized,commander
1972,5,20,resilient,scholar
1972,5,21,adventurous,pioneer
1972,5,22,outgoing,philosopher
1972,5,23,intelligent,artist
1972,5,24,charismatic,delegate
1972,5,25,outgoing,philosopher
1972,5,26,adventurous,scholar
1972,5,27,intelligent,king
1972,5,28,adventurous,delegate
1972,5,29,outgoing,monk
1972,5,30,adventurous,warrior
1972,5,31,creative,philosopher
1972,6,1,creative,monk
1972,6,2,analytical,pioneer
1972,6,3,analytical,scholar
1972,6,4,organized,scholar
1972,6,5,friendly,monk
1972,6,6,outgoing,scholar
1972,6,7,empathetic,artist
1972,6,8,charismatic,scholar
1972,6,9,analytical,warrior
1972,6,10,charismatic,king
1972,6,11,outgoing,pioneer
1972,6,12,resilient,commander
1972,6,13,creative,king
1972,6,14,intelligent,commander
1972,6,15,resilient,warrior
1972,6,16,adventurous,commander
1972,6,17,analytical,artist
1972,6,18,friendly,king
1972,6,19,analytical,scholar
1972,6,20,resilient,pioneer
1972,6,21,resilient,warrior
1972,6,22,resilient,king
1972,6,23,creative,artist
1972,6,24,outgoing,monk
1972,6,25,charismatic,philosopher
1972,6,26,creative,commander
1972,6,27,analytical,monk
1972,6,28,creative,artist
1972,6,29,intelligent,scholar
1972,6,30,friendly,warrior
1972,7,1,charismatic,artist
1972,7,2,intelligent,warrior
1972,7,3,adventurous,commander
1972,7,4,charismatic,pioneer
1972,7,5,friendly,monk
1972,7,6,empathetic,explorer
1972,7,7,empathetic,monk
1972,7,8,analytical,explorer
1972,7,9,resilient,artist
1972,7,10,adventurous,delegate
1972,7,11,analytical,monk
1972,7,12,intelligent,philosopher
1972,7,13,outgoing,monk
1972,7,14,empathetic,scholar
1972,7,15,charismatic,pioneer
1972,7,16,organized,pioneer
1972,7,17,adventurous,philosopher
1972,7,18,analytical,king
